,time,car_n 1,car_v_mean 1,truck_n 1,truck_v_mean 1,Y
100,day1 8:20,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
101,day1 8:25,2.0,29.63,0.0,0.0,0.0-0.0-0.0-0.0
102,day1 8:30,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
103,day1 8:35,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
104,day1 8:40,2.0,28.67,0.0,0.0,0.0-0.0-0.0-0.0
105,day1 8:45,0.0,0.0,0.0,0.0,1.0-32.49-0.0-0.0
106,day1 8:50,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
107,day1 8:55,2.0,30.86,0.0,0.0,1.0-24.45-0.0-0.0
108,day1 9:0,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
109,day1 9:5,1.0,42.79,0.0,0.0,1.0-25.12-0.0-0.0
110,day1 9:10,0.0,0.0,0.0,0.0,1.0-25.07-0.0-0.0
111,day1 9:15,1.0,27.28,1.0,21.12,0.0-0.0-0.0-0.0
112,day1 9:20,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
113,day1 9:25,0.0,0.0,0.0,0.0,2.0-23.63-0.0-0.0
114,day1 9:30,1.0,21.35,0.0,0.0,0.0-0.0-0.0-0.0
115,day1 9:35,1.0,37.65,0.0,0.0,0.0-0.0-0.0-0.0
116,day1 9:40,0.0,0.0,0.0,0.0,1.0-25.7-0.0-0.0
117,day1 9:45,1.0,21.11,0.0,0.0,0.0-0.0-0.0-0.0
118,day1 9:50,0.0,0.0,0.0,0.0,1.0-22.71-0.0-0.0
119,day1 9:55,2.0,24.26,0.0,0.0,0.0-0.0-0.0-0.0
120,day1 10:0,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
121,day1 10:5,1.0,20.21,0.0,0.0,1.0-22.54-0.0-0.0
122,day1 10:10,1.0,23.96,0.0,0.0,0.0-0.0-0.0-0.0
123,day1 10:15,0.0,0.0,0.0,0.0,0.0-0.0-1.0-20.72
124,day1 10:20,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
125,day1 10:25,1.0,19.54,1.0,30.73,0.0-0.0-0.0-0.0
126,day1 10:30,1.0,24.39,0.0,0.0,1.0-22.44-0.0-0.0
127,day1 10:35,1.0,22.7,0.0,0.0,2.0-31.06-0.0-0.0
128,day1 10:40,1.0,19.55,0.0,0.0,0.0-0.0-0.0-0.0
129,day1 10:45,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
130,day1 10:50,0.0,0.0,0.0,0.0,1.0-21.84-0.0-0.0
131,day1 10:55,4.0,26.47,0.0,0.0,0.0-0.0-0.0-0.0
132,day1 11:0,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
133,day1 11:5,0.0,0.0,0.0,0.0,1.0-22.5-1.0-20.48
134,day1 11:10,2.0,20.97,0.0,0.0,0.0-0.0-0.0-0.0
135,day1 11:15,1.0,29.35,0.0,0.0,0.0-0.0-0.0-0.0
136,day1 11:20,0.0,0.0,0.0,0.0,1.0-22.7-0.0-0.0
137,day1 11:25,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
138,day1 11:30,2.0,22.24,0.0,0.0,1.0-20.8-0.0-0.0
139,day1 11:35,2.0,27.1,0.0,0.0,0.0-0.0-0.0-0.0
140,day1 11:40,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
141,day1 11:45,1.0,22.24,0.0,0.0,1.0-18.7-0.0-0.0
142,day1 11:50,1.0,21.83,0.0,0.0,0.0-0.0-0.0-0.0
143,day1 11:55,1.0,27.15,0.0,0.0,0.0-0.0-1.0-20.01
144,day1 12:0,0.0,0.0,0.0,0.0,0.0-0.0-0.0-0.0
145,day1 12:5,1.0,22.36,0.0,0.0,0.0-0.0-0.0-0.0
146,day1 12:10,0.0,0.0,0.0,0.0,1.0-22.54-0.0-0.0
147,day1 12:15,1.0,41.38,0.0,0.0,1.0-19.21-0.0-0.0
148,day1 12:20,1.0,22.19,0.0,0.0,0.0-0.0-0.0-0.0
